transaction_id,user_id,product_id,category,quantity,unit_price,subtotal,discount_percent,discount_amount,tax_amount,shipping_fee,total_amount,payment_method,status,transaction_timestamp,delivery_pincode,delivery_city,delivery_state,delivery_country,expected_delivery_date,actual_delivery_date,customer_email,customer_phone,order_source,is_first_purchase,coupon_code
TXN-0194E4FED859,USER-770487,PROD-24592,electronics,1,49098,49098,0,0.0,8837.64,0,57935.64,upi,completed,2025-07-14 05:11:09,84311,North Judithbury,Iowa,CU,2025-07-20,2025-07-16,rhodespatricia@example.org,001-260-501-3389,web,True,
TXN-37E979B3F19F,USER-329258,PROD-40495,automotive,1,39953,39953,0,0.0,7191.54,0,47144.54,debit_card,completed,2025-10-04 17:11:09,94351,Robinsonshire,Louisiana,AF,2025-10-09,2025-10-12,helenpeterson@example.org,651.216.1559,web,True,
TXN-7BB891B25BBF,USER-832052,PROD-65392,beauty,1,1288,1288,20,257.6,185.47,0,1215.87,credit_card,completed,2025-11-05 19:54:09,96148,Herrerafurt,Colorado,TG,2025-11-10,2025-11-11,maria95@example.net,610.934.1316,mobile_app,True,COUP8527
TXN-6A832849A779,USER-662275,PROD-26361,toys,1,845,845,10,84.5,136.89,0,897.39,debit_card,pending,2025-07-06 01:03:09,83821,Franciscostad,Indiana,SV,2025-07-09,,jacqueline19@example.net,(783)227-6483,web,True,COUP5741
TXN-9212F4FF2E47,USER-183667,PROD-40512,clothing,1,3413,3413,5,170.65,583.62,0,3825.97,credit_card,completed,2025-10-07 10:31:09,30522,Port Leslieview,California,GH,2025-10-10,2025-10-13,jason76@example.net,724.523.8849x696,mobile_web,True,COUP9751
TXN-70295A927818,USER-864544,PROD-42087,home,1,15347,15347,20,3069.4,2209.97,0,14487.57,debit_card,completed,2025-06-07 20:55:09,18632,Daviston,Delaware,DE,2025-06-10,2025-06-10,laurahenderson@example.org,(669)878-4801x8451,web,False,COUP7572
TXN-A5C419D9A7F2,USER-380746,PROD-18675,sports,3,9692,29076,0,0.0,5233.68,0,34309.68,debit_card,completed,2025-06-18 17:39:09,21231,Smithview,North Carolina,EE,2025-06-23,2025-06-21,harrellkenneth@example.net,793.625.2880x95701,web,False,
TXN-D81C76DC0083,USER-883300,PROD-86622,toys,1,7554,7554,0,0.0,1359.72,0,8913.72,cod,completed,2025-07-27 05:00:09,31886,East Natalieland,Colorado,ES,2025-07-30,2025-08-04,wcabrera@example.net,001-822-778-2489x63834,web,True,
TXN-49B3CDB82C7A,USER-757924,PROD-30969,toys,1,5085,5085,0,0.0,915.3,0,6000.3,cod,completed,2025-07-12 07:05:09,57923,Martinezbury,California,LU,2025-07-15,2025-07-19,chapmanjerry@example.org,5106310518,mobile_web,False,
TXN-8E1D65E9C314,USER-905934,PROD-94012,beauty,1,606,606,0,0.0,109.08,0,715.08,credit_card,completed,2025-09-23 15:00:09,88185,Lewisberg,Washington,TO,2025-09-27,2025-09-29,esanchez@example.com,311.265.6670,web,False,
TXN-61DB3414FB68,USER-982554,PROD-93748,automotive,1,40409,40409,0,0.0,7273.62,0,47682.62,credit_card,cancelled,2025-07-18 07:10:09,53273,Laurenville,Kansas,FI,2025-07-23,,amandataylor@example.org,473-817-8108x013,mobile_app,True,
TXN-9C70D1000F8D,USER-217301,PROD-57576,books,1,590,590,15,88.5,90.27,0,591.77,net_banking,completed,2025-07-29 05:00:09,64154,Lewisfurt,Arkansas,DM,2025-08-05,2025-08-06,ysmith@example.com,246.787.2343x098,web,True,COUP8787
TXN-1E1D883AD438,USER-676510,PROD-31643,books,3,1180,3540,0,0.0,637.2,0,4177.2,credit_card,completed,2025-06-07 01:03:09,07993,New Thomashaven,Hawaii,BG,2025-06-12,2025-06-12,yorkcasey@example.org,+1-736-619-3990x91699,mobile_web,False,
TXN-73605F5E9616,USER-559381,PROD-77839,grocery,1,297,297,0,0.0,53.46,50,400.46,credit_card,completed,2025-07-03 00:48:09,27273,Johnfurt,Florida,SV,2025-07-06,2025-07-10,stephen10@example.com,+1-791-618-3842x513,mobile_web,True,
TXN-05FED6BE8A7D,USER-340062,PROD-18834,electronics,1,22154,22154,0,0.0,3987.72,0,26141.72,debit_card,completed,2025-10-27 07:49:09,21177,Bassport,South Carolina,TD,2025-11-03,2025-11-02,contrerasangela@example.net,524-711-8244,mobile_app,True,
TXN-38F9F41403DA,USER-922733,PROD-71993,toys,1,1759,1759,5,87.95,300.79,0,1971.84,credit_card,completed,2025-11-16 10:07:09,27186,Williamview,Arkansas,BW,2025-11-19,2025-11-18,ccalderon@example.org,724-427-8680x11280,mobile_app,False,COUP2790
TXN-4FA9A854D3AF,USER-360735,PROD-35112,sports,1,9186,9186,0,0.0,1653.48,0,10839.48,credit_card,completed,2025-11-10 16:57:09,56834,North Kyle,Arizona,MK,2025-11-17,2025-11-12,evelynestrada@example.com,001-686-492-3226x02563,web,True,
TXN-8C8F4655744A,USER-197793,PROD-40982,home,1,13517,13517,0,0.0,2433.06,0,15950.06,credit_card,completed,2025-08-25 07:24:09,92418,South Monicafort,Iowa,FR,2025-08-30,2025-09-02,ybailey@example.org,803.765.4145,mobile_app,False,
TXN-4283E5174C37,USER-543555,PROD-82845,grocery,1,367,367,0,0.0,66.06,50,483.06,credit_card,completed,2025-11-14 08:28:09,04118,West Gregoryview,Arizona,CD,2025-11-17,2025-11-16,yreed@example.com,(798)816-9340x60883,mobile_web,False,
TXN-F9617AB07262,USER-627276,PROD-79615,home,4,2063,8252,0,0.0,1485.36,0,9737.36,credit_card,completed,2025-06-11 00:23:09,09672,Cindyville,Washington,KG,2025-06-14,2025-06-17,elizabeth56@example.net,682-636-6299x4680,web,True,
TXN-C1527EE69ABA,USER-749468,PROD-20745,toys,1,5585,5585,5,279.25,955.03,0,6260.78,net_banking,completed,2025-09-11 00:32:09,28050,Floydmouth,New Jersey,PA,2025-09-17,2025-09-14,glowe@example.com,001-221-248-9513x4332,mobile_web,False,COUP8491
TXN-FB1F5FB729D4,USER-431535,PROD-19508,electronics,2,30534,61068,5,3053.4,10442.63,0,68457.23,credit_card,completed,2025-07-23 23:40:09,32593,Carrland,New Jersey,NI,2025-07-28,2025-07-25,jennifercruz@example.com,220.516.3287,web,False,COUP5669
TXN-DDBC4F38A55F,USER-265409,PROD-67433,automotive,1,46607,46607,20,9321.4,6711.41,0,43997.01,upi,completed,2025-06-12 14:29:09,16407,Andersonmouth,Texas,SM,2025-06-15,2025-06-15,stephanie79@example.net,968.372.7743x48734,mobile_app,True,COUP2753
TXN-3EEE152A3A73,USER-878480,PROD-82512,home,1,9124,9124,0,0.0,1642.32,0,10766.32,credit_card,completed,2025-09-23 15:17:09,94026,Jimmymouth,Massachusetts,SR,2025-09-28,2025-10-01,taylorjesse@example.net,(231)566-5876,web,True,
TXN-61F410022390,USER-765095,PROD-65518,books,1,190,190,10,19.0,30.78,50,251.78,debit_card,completed,2025-08-08 14:03:09,55570,Steinshire,Vermont,AO,2025-08-14,2025-08-14,wwoods@example.com,001-766-888-9373x46706,web,True,COUP2232
TXN-9C28472C0999,USER-824586,PROD-29536,automotive,2,2861,5722,5,286.1,978.46,0,6414.36,credit_card,completed,2025-09-12 19:51:09,95420,Port Tanner,Florida,VU,2025-09-15,2025-09-16,meadowsbrittany@example.net,7165272046,web,True,COUP2684
TXN-F68EC066CDB3,USER-470858,PROD-83385,toys,2,5284,10568,15,1585.2,1616.9,0,10599.7,credit_card,completed,2025-10-15 18:47:09,60099,Matthewfurt,Louisiana,GB,2025-10-19,2025-10-22,fking@example.com,5802531003,mobile_app,False,COUP5065
