user_id,first_name,last_name,full_name,gender,date_of_birth,age,email,phone,address,city,state,country,zipcode,account_created_at,last_login_at,account_status,customer_segment,total_purchases,lifetime_value,average_order_value,preferred_categories,email_subscribed,sms_subscribed,preferred_language,preferred_currency,is_premium_member,referral_code,kyc_verified
USER-770487,Mark,Johnson,Mark Johnson,Male,2006-03-16,19,mark.johnson760@gmail.com,321.581.9600,9402 Peterson Drives,New Jamesside,North Carolina,Djibouti,55488,2024-05-15 07:47:42,2025-10-30 07:47:42,active,regular,8,16087,2010.88,"clothing,books,sports",True,True,English,EUR,False,REF40495,True
USER-688508,Daniel,Gallagher,Daniel Gallagher,Male,1962-01-08,63,daniel.gallagher666@gmail.com,(615)759-4078x1618,64752 Kelly Skyway,North Donnaport,Illinois,Morocco,10959,2021-12-24 07:47:42,2025-09-22 07:47:42,active,regular,19,14654,771.26,home,False,False,French,EUR,False,REF38221,False
USER-207175,Derek,Zuniga,Derek Zuniga,Male,1983-08-08,42,derek.zuniga100@gmail.com,+1-528-232-7648x350,76724 John Points Suite 969,Adamsborough,Massachusetts,Sri Lanka,74842,2023-11-25 07:47:42,2025-10-17 07:47:42,active,occasional,1,4263,4263.0,"clothing,books",False,False,Hindi,EUR,False,REF19116,True
USER-793384,James,Robinson,James Robinson,Male,1958-01-22,67,james.robinson297@hotmail.com,610.212.2691x6697,46270 Stanton Track Apt. 814,Lake Nicoleview,Washington,Pitcairn Islands,84513,2025-06-19 07:47:42,2025-11-01 07:47:42,active,occasional,4,2777,694.25,"home,grocery",False,True,French,USD,False,REF89840,True
USER-660086,Meagan,Romero,Meagan Romero,Other,1992-02-15,33,meagan.romero168@gmail.com,(528)280-9570x154,78248 Brandt Plains,North Jessicaland,Oregon,Dominican Republic,70323,2023-04-28 07:47:42,2025-10-13 07:47:42,active,regular,12,16216,1351.33,sports,True,False,German,GBP,False,REF18675,True
USER-694731,Karina,Vaughn,Karina Vaughn,Other,1987-09-02,38,karina.vaughn218@yahoo.com,(557)587-1331x5098,347 Amber Stream,East Carloston,California,Albania,43810,2022-03-28 07:47:42,2025-09-28 07:47:42,active,regular,19,7340,386.32,books,False,False,French,EUR,False,REF28131,False
USER-195325,Timothy,Duncan,Timothy Duncan,Male,1952-05-31,73,timothy.duncan113@gmail.com,863.711.6566x7010,2473 Scott Wall,East James,Connecticut,South Georgia and the South Sandwich Islands,59301,2025-01-20 07:47:42,2025-09-11 07:47:42,active,loyal,41,33833,825.2,"toys,books",False,False,Hindi,USD,True,REF99166,True
USER-814825,Melissa,Garcia,Melissa Garcia,Other,1959-08-10,66,melissa.garcia274@hotmail.com,2134267736,872 Kenneth Centers Apt. 500,Bakermouth,Alabama,Hong Kong,37889,2021-08-08 07:47:42,2025-09-09 07:47:42,active,regular,14,12123,865.93,books,True,True,French,CAD,False,REF89818,True
USER-260263,Lauren,Shaw,Lauren Shaw,Female,1959-10-27,66,lauren.shaw166@hotmail.com,(808)312-1913,9985 Harris Stravenue,New Brooke,Oregon,Western Sahara,81684,2022-11-21 07:47:42,2025-09-24 07:47:42,active,new,0,0,0.0,"electronics,grocery",False,False,Spanish,USD,False,REF41571,True
USER-189814,Leon,Baker,Leon Baker,Other,1976-01-19,49,leon.baker836@hotmail.com,+1-647-451-0799x1183,808 Huynh Cove Apt. 411,East Mikeburgh,Minnesota,Venezuela,57934,2025-07-11 07:47:42,2025-09-23 07:47:42,inactive,occasional,2,4393,2196.5,books,False,True,Hindi,EUR,False,REF50857,False
USER-804314,Julia,Moore,Julia Moore,Other,1984-03-18,41,julia.moore449@hotmail.com,853.648.7401,680 Charles Spurs Apt. 805,Kellieview,Alabama,Aruba,21679,2023-01-05 07:47:42,2025-10-04 07:47:42,active,loyal,27,22098,818.44,"sports,books,clothing",True,True,English,EUR,True,REF18834,True
